trial_no,vwap_buy_deviation,take_profit_pct,buy_confirm_min_score,notify_sell_threshold,notify_buy_threshold,stock_qty_strong_pct,stock_qty_base_pct,stock_rebuild_strong_pct,stock_first_add_pct,train_win_rate,train_total_pnl,train_n_trades,train_max_drawdown,train_annualized_return,train_composite_score,test_win_rate,test_total_pnl,test_n_trades,test_max_drawdown,test_annualized_return,test_composite_score,elapsed_sec,status
54,-0.02533269400600833,0.012869589469484799,16,59,49,0.5843855513958571,0.3860065672011531,0.7955899603633241,0.1671293101588442,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,202.6,ok
55,-0.019770174288063533,0.011994779012263704,15,53,45,0.5311152005645166,0.3542478632536984,0.9918244573355237,0.14613800455332893,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,191.9,ok
56,-0.03313488111027749,0.008820382989682737,17,46,55,0.5091107829839707,0.332239168167908,0.8759682246968883,0.3566203868577469,0,0,0,0,0,-9999.0,0,0,0,0,0,0,138.0,ok
57,-0.021604565494189345,0.013821781764989523,29,48,43,0.25494112977588446,0.30711242485770096,0.9551028125176176,0.19757953892678026,0.0,-3.83,1,-0.0208,0.0621,0.0,0,0,0,0,0,0,131.2,ok
58,-0.016304147693155992,0.022487135009146612,18,62,47,0.5424595413726205,0.28482413196151146,0.7418720704056269,0.3984087674032137,0,0,0,0,0,-9999.0,0,0,0,0,0,0,152.1,ok
59,-0.01782120590055824,0.014725414912955266,16,51,40,0.5704289499875381,0.3371884974038426,0.9194546527209506,0.12294862460813816,0,0,0,0,0,-9999.0,0,0,0,0,0,0,124.8,ok
60,-0.024169105823797825,0.010819326658948504,27,55,64,0.5545873521959753,0.35249461031340623,0.7169541724882972,0.24049829176149512,0,0,0,0,0,-9999.0,0,0,0,0,0,0,175.6,ok
61,-0.0190634191219661,0.011022913970390196,17,50,47,0.5732955660554621,0.3148022660704629,0.7872350613458188,0.24940136868924578,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,161.4,ok
62,-0.018551930465132597,0.011784217404258467,17,49,50,0.5861051886669179,0.3081424153321856,0.8097793716540111,0.2662418549677789,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,165.3,ok
63,-0.01747380198038491,0.010067701130502335,18,53,46,0.5895418197944903,0.3237258958836854,0.7694873306885,0.2952569431195818,0.0,-3.83,1,-0.0183,0.0544,0.0,0,0,0,0,0,0,166.6,ok
64,-0.015069311861463788,0.013004300835225491,19,47,48,0.5237542223115125,0.3005183974249941,0.8202007544162688,0.31332226245275413,0.0,-3.83,1,-0.0208,0.0621,0.0,0,0,0,0,0,0,154.1,ok
65,-0.02076964178116181,0.024973749419298412,15,51,52,0.5998373483085774,0.32824774551089103,0.8526093456802442,0.27009938772466546,0,0,0,0,0,-9999.0,0,0,0,0,0,0,151.6,ok
66,-0.01943823837265367,0.011342631489045352,17,50,45,0.4831054582068005,0.2951213119261107,0.7449060707994772,0.28417103172000846,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,168.3,ok
67,-0.018331048445177085,0.01250836903195765,16,52,54,0.5406773647605376,0.2810738892906091,0.9299091808065507,0.23230525491108098,0,0,0,0,0,-9999.0,0,0,0,0,0,0,159.9,ok
68,-0.020062170621424454,0.009286159160371548,20,47,49,0.575335550939944,0.339746520246226,0.8951184612839348,0.326182760206635,0,0,0,0,0,-9999.0,0,0,0,0,0,0,171.3,ok
69,-0.02215103444008754,0.00851585830353372,23,67,53,0.556706192514897,0.32098590759776063,0.7918124674472035,0.21726670994813996,0,0,0,0,0,-9999.0,0,0,0,0,0,0,195.4,ok
