open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
115.29,121.13,115.04,120.75,105952100.0,000988.SZ,20260422,华工科技,NA,CNY
121.73,123.29,115.81,117.45,100627900.0,000988.SZ,20260423,华工科技,NA,CNY
114.81,117.15,112.84,115.13,69397000.0,000988.SZ,20260424,华工科技,NA,CNY
115.91,121.05,115.81,118.59,90173600.0,000988.SZ,20260427,华工科技,NA,CNY
118.3,119.05,114.19,115.4,65553700.0,000988.SZ,20260428,华工科技,NA,CNY
114.2,120.3,114.2,118.84,83280600.0,000988.SZ,20260429,华工科技,NA,CNY
118.91,120.77,114.81,119.33,92020700.0,000988.SZ,20260430,华工科技,NA,CNY
122.81,129.22,121.46,124.98,108885900.0,000988.SZ,20260506,华工科技,NA,CNY
125.58,134.3,123.59,133.28,106679100.0,000988.SZ,20260507,华工科技,NA,CNY
130.57,136.67,129.07,136.46,105704800.0,000988.SZ,20260508,华工科技,NA,CNY
139.75,148.53,139.7,147.31,105384700.0,000988.SZ,20260511,华工科技,NA,CNY
146.74,150.25,143.76,143.92,99043100.0,000988.SZ,20260512,华工科技,NA,CNY
139.77,143.38,136.57,141.86,97617600.0,000988.SZ,20260513,华工科技,NA,CNY
143.64,145.96,137.12,137.17,90553400.0,000988.SZ,20260514,华工科技,NA,CNY
137.87,142.74,130.04,133.76,88667100.0,000988.SZ,20260515,华工科技,NA,CNY
137.3,147.14,136.8,147.14,67680500.0,000988.SZ,20260518,华工科技,NA,CNY
150.81,159.42,147.04,158.14,142273300.0,000988.SZ,20260519,华工科技,NA,CNY
158.15,170.6,158.15,163.15,130642600.0,000988.SZ,20260520,华工科技,NA,CNY
163.74,165.52,152.74,153.7,121181800.0,000988.SZ,20260521,华工科技,NA,CNY
155.29,158.88,153.34,156.05,90811100.0,000988.SZ,20260522,华工科技,NA,CNY
156.74,171.65,155.24,171.65,109061800.0,000988.SZ,20260525,华工科技,NA,CNY
171.65,175.51,165.68,170.04,111606100.0,000988.SZ,20260526,华工科技,NA,CNY
166.67,170.71,158.74,159.61,107028900.0,000988.SZ,20260527,华工科技,NA,CNY
157.75,166.82,155.45,165.35,81595500.0,000988.SZ,20260528,华工科技,NA,CNY
166.06,166.06,150.03,151.67,105753200.0,000988.SZ,20260529,华工科技,NA,CNY
154.64,154.66,142.34,142.83,85015800.0,000988.SZ,20260601,华工科技,NA,CNY
144.56,151.11,140.99,149.0,77533000.0,000988.SZ,20260602,华工科技,NA,CNY
153.72,160.41,150.45,154.13,101486000.0,000988.SZ,20260603,华工科技,NA,CNY
149.76,160.82,149.76,158.1,76405300.0,000988.SZ,20260604,华工科技,NA,CNY
156.04,165.59,155.6,156.94,92174100.0,000988.SZ,20260605,华工科技,NA,CNY
145.76,154.52,145.76,148.6,68751000.0,000988.SZ,20260608,华工科技,NA,CNY
152.37,155.53,148.77,155.27,64927900.0,000988.SZ,20260609,华工科技,NA,CNY
152.55,152.88,146.77,148.75,52402300.0,000988.SZ,20260610,华工科技,NA,CNY
147.76,152.25,146.89,150.25,49133700.0,000988.SZ,20260611,华工科技,NA,CNY
155.01,155.58,151.01,151.01,62781300.0,000988.SZ,20260612,华工科技,NA,CNY
152.98,160.99,147.01,160.98,76912600.0,000988.SZ,20260615,华工科技,NA,CNY
161.0,166.66,159.08,164.0,77630200.0,000988.SZ,20260616,华工科技,NA,CNY
161.65,172.8,161.0,170.51,77190300.0,000988.SZ,20260617,华工科技,NA,CNY
169.11,181.57,168.72,177.55,78077300.0,000988.SZ,20260618,华工科技,NA,CNY
180.91,181.05,169.46,174.67,90596600.0,000988.SZ,20260622,华工科技,NA,CNY
172.79,172.79,162.51,163.66,76612400.0,000988.SZ,20260623,华工科技,NA,CNY
162.0,168.0,161.3,167.89,54883600.0,000988.SZ,20260624,华工科技,NA,CNY
168.78,174.34,165.4,173.58,60896000.0,000988.SZ,20260625,华工科技,NA,CNY
171.0,171.87,160.0,160.94,66793200.0,000988.SZ,20260626,华工科技,NA,CNY
172.0,177.03,169.26,177.03,114137300.0,000988.SZ,20260629,华工科技,NA,CNY
179.0,187.66,173.03,184.61,109049700.0,000988.SZ,20260630,华工科技,NA,CNY
184.0,187.66,171.8,173.55,90533200.0,000988.SZ,20260701,华工科技,NA,CNY
164.84,164.84,156.2,156.2,80944800.0,000988.SZ,20260702,华工科技,NA,CNY
151.69,159.86,149.9,153.95,57738700.0,000988.SZ,20260703,华工科技,NA,CNY
156.09,156.78,145.5,149.7,48655900.0,000988.SZ,20260706,华工科技,NA,CNY
