date,open,close,high,low,volume,amount,fetch_source,amount_raw,amount_source,amount_anchor_ratio,cache_schema_version,cache_scan_mode,cache_saved_at
2026-04-16,58.76,60.45,60.65,58.0,1996422.0,119186393.40000002,cache,119186393.40000002,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-04-17,59.85,59.75,60.88,59.25,1343424.0,80551703.04,cache,80551703.04,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-04-20,62.64,65.73,65.73,60.91,3929269.0,251957825.84333333,cache,251957825.84333333,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-04-21,64.86,65.75,66.0,62.9,2625733.0,170366309.48333335,cache,170366309.48333335,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-04-22,65.39,68.03,68.69,64.6,2366656.0,158818395.30666667,cache,158818395.30666667,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-04-23,69.0,67.77,70.68,67.3,2322371.0,159275944.41666666,cache,159275944.41666666,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-04-24,67.51,66.0,67.8,64.37,2622791.0,173252830.82333335,cache,173252830.82333335,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-04-27,67.98,71.97,72.6,67.5,3273500.0,231403715.0,cache,231403715.0,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-04-28,71.02,69.88,72.4,68.95,2159908.0,152079122.28000003,cache,152079122.28000003,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-04-29,68.0,68.64,69.77,66.5,2103918.0,143704612.45999998,cache,143704612.45999998,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-04-30,69.48,67.0,69.48,66.8,1550475.0,105060186.0,cache,105060186.0,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2026-05-06,68.27,67.08,71.0,66.87,2130544.0,145551664.26666665,cache,145551664.26666665,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
